movie_id,title,year,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,year_norm
1,Toy Story (1995),1995.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9605263157894737
2,GoldenEye (1995),1995.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9605263157894737
3,Four Rooms (1995),1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9605263157894737
4,Get Shorty (1995),1995.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.9605263157894737
5,Copycat (1995),1995.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.9605263157894737
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1995.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9605263157894737
7,Twelve Monkeys (1995),1995.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.9605263157894737
8,Babe (1995),1995.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.9605263157894737
9,Dead Man Walking (1995),1995.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9605263157894737
10,Richard III (1995),1995.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.9605263157894737
11,Seven (Se7en) (1995),1995.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.9605263157894737
12,"Usual Suspects, The (1995)",1995.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.9605263157894737
13,Mighty Aphrodite (1995),1995.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9605263157894737
14,"Postino, Il (1994)",1994.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.9473684210526315
15,Mr. Holland's Opus (1995),1995.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9605263157894737
16,French Twist (Gazon maudit) (1995),1995.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.9605263157894737
17,From Dusk Till Dawn (1996),1996.0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0.9736842105263158
18,"White Balloon, The (1995)",1995.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9605263157894737
19,Antonia's Line (1995),1995.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9605263157894737
20,Angels and Insects (1995),1995.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.9605263157894737
21,Muppet Treasure Island (1996),1996.0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0.9736842105263158
22,Braveheart (1995),1995.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.9605263157894737
23,Taxi Driver (1976),1976.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7105263157894737
24,Rumble in the Bronx (1995),1995.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9605263157894737
25,"Birdcage, The (1996)",1996.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9736842105263158
26,"Brothers McMullen, The (1995)",1995.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9605263157894737
27,Bad Boys (1995),1995.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9605263157894737
28,Apollo 13 (1995),1995.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.9605263157894737
29,Batman Forever (1995),1995.0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.9605263157894737
30,Belle de jour (1967),1967.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5921052631578947
31,Crimson Tide (1995),1995.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.9605263157894737
32,Crumb (1994),1994.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9473684210526315
33,Desperado (1995),1995.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.9605263157894737
34,"Doom Generation, The (1995)",1995.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.9605263157894737
35,Free Willy 2: The Adventure Home (1995),1995.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9605263157894737
36,Mad Love (1995),1995.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.9605263157894737
37,Nadja (1994),1994.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9473684210526315
38,"Net, The (1995)",1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.9605263157894737
39,Strange Days (1995),1995.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.9605263157894737
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",1995.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9605263157894737
41,Billy Madison (1995),1995.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9605263157894737
42,Clerks (1994),1994.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9473684210526315
43,Disclosure (1994),1994.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.9473684210526315
44,Dolores Claiborne (1994),1994.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.9473684210526315
45,Eat Drink Man Woman (1994),1994.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.9473684210526315
46,Exotica (1994),1994.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9473684210526315
47,Ed Wood (1994),1994.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.9473684210526315
48,Hoop Dreams (1994),1994.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9473684210526315
49,I.Q. (1994),1994.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.9473684210526315
50,Star Wars (1977),1977.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.7236842105263158
51,Legends of the Fall (1994),1994.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.9473684210526315
52,"Madness of King George, The (1994)",1994.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9473684210526315
53,Natural Born Killers (1994),1994.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9473684210526315
54,Outbreak (1995),1995.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.9605263157894737
55,"Professional, The (1994)",1994.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0.9473684210526315
56,Pulp Fiction (1994),1994.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.9473684210526315
57,Priest (1994),1994.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9473684210526315
58,Quiz Show (1994),1994.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9473684210526315
59,Three Colors: Red (1994),1994.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9473684210526315
60,Three Colors: Blue (1993),1993.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9342105263157895
61,Three Colors: White (1994),1994.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9473684210526315
62,Stargate (1994),1994.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9473684210526315
63,"Santa Clause, The (1994)",1994.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9473684210526315
64,"Shawshank Redemption, The (1994)",1994.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9473684210526315
65,What's Eating Gilbert Grape (1993),1993.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.9342105263157895
66,While You Were Sleeping (1995),1995.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.9605263157894737
67,Ace Ventura: Pet Detective (1994),1994.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9473684210526315
68,"Crow, The (1994)",1994.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.9473684210526315
69,Forrest Gump (1994),1994.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.9473684210526315
70,Four Weddings and a Funeral (1994),1994.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.9473684210526315
